r_A,g_r,pmf_kcal_mol
3.3334256362778714,0.0,0.0
3.3491865139907695,0.0,0.0
3.3649473917036667,0.0,0.0
3.380708269416565,0.0,0.0
3.396469147129462,0.0506658277504204,1.7780530173372833
3.4122300248423603,0.0,0.0
3.4279909025552575,0.049738328116857425,1.7890676022744505
3.4437517802681556,0.0,0.0
3.459512657981053,0.0,0.0
3.475273535693951,0.0,0.0
3.4910344134068487,0.0,0.0
3.5067952911197464,0.0,0.0
3.5225561688326446,0.0,0.0
3.538317046545542,0.0,0.0
3.55407792425844,0.0,0.0
3.569838801971337,0.04586415035064261,1.837411539486299
3.5855996796842353,0.0,0.0
3.6013605573971326,0.04506479176705585,1.8478935458101187
3.6171214351100307,0.04467292649256297,1.8531001941070167
3.632882312822928,0.0,0.0
3.648643190535826,0.08780875110265965,1.4502182981598655
3.6644040682487242,0.0,0.0
3.6801649459616215,0.0,0.0
3.6959258236745196,0.04278820997639815,1.8787977537466847
3.711686701387417,0.08485120041370486,1.470643990608749
3.727447579100315,0.04206758039784016,1.888923680155915
3.7432084568132122,0.0,0.0
3.7589693345261104,0.08273000741901498,1.4857368591131912
3.7747302122390076,0.0,0.0
3.7904910899519058,0.12203964571463419,1.2539710886950417
3.8062519676648034,0.04034368645525262,1.913868538100103
3.822012845377701,0.0800232830706024,1.5055680146804615
3.8377737230905993,0.07936735820838364,1.5104746914705516
3.8535346008034965,0.07871946501933565,1.5153612589295367
3.8692954785163947,0.039039736454178124,1.9334553569488646
3.885056356229292,0.11617088088590477,1.2833521429116403
3.90081723394219,0.1920567067355305,0.9836449271690055
3.9165781116550873,0.19051409091198596,0.9884526790238147
3.9323389893679854,0.3779799726917852,0.5800136469045957
3.9480998670808827,0.2999745568636062,0.7178124707626174
3.963860744793781,0.0371992273698262,1.9622451866488164
3.979621622506679,0.1845258193438648,1.007492139496759
3.995382500219576,0.21968744120764397,0.9035118329389816
4.011143377932473,0.1816370094337582,1.0168990594061196
4.026904255645372,0.32439235957814994,0.6711592126334373
4.04266513335827,0.35763102023114196,0.6130048676347707
4.058426011071168,0.28388696054239354,0.7506737886566571
4.074186888784065,0.3873303419923298,0.5654454254986834
4.089947766496962,0.41929188280524843,0.5181761775901038
4.1057086442098605,0.3814056894709134,0.5746348427356319
4.121469521922759,0.27526851625483983,0.7690528960646584
4.137230399635656,0.4439097482292868,0.4841628085176
4.152991277348553,0.47443502802360504,0.4445160541608547
4.168752155061451,0.47085440336297635,0.4490324271154279
4.184513032774349,0.567452910310513,0.3377834687721171
4.2002739104872475,0.596331896465888,0.3081902537355508
4.216034788200145,0.5589993636541639,0.34673151122624074
4.231795665913042,0.6527567691447949,0.25429299072151124
4.24755654362594,0.8099019450110646,0.12569588220532105
4.263317421338838,0.6109828754473093,0.2937204988072693
4.2790782990517355,0.47880819048934026,0.43904603737079745
4.294839176764633,0.7287940293505004,0.18860402619125238
4.310600054477531,0.6920189804077167,0.21947192517963318
4.326360932190429,0.9055726356108921,0.05913191420210698
4.342121809903326,0.7440087259712906,0.17628637551064144
4.357882687616224,1.0156256621970592,-0.009243383618036867
4.373643565329122,1.466645868196103,-0.2283166780970319
4.38940444304202,0.6673939813412622,0.24107253687900249
4.405165320754918,0.72286571107137,0.19347328455311827
